"","shot_id","match_id","shotX","shotY","quarter","time_remaining","player","team","made","shot_type","distance","score","opp","status","date","time_game","teamPoints"
"1",0,"200010310ATL",8.3,20.2,"1st quarter","00:11:29","Baron Davis","CHH","False","2-pointer",22,"0-2","'CHH'","trails","2000-10-31","00:00:31",0
"2",1,"200010310ATL",35.9,15.8,"1st quarter","00:10:41","Jamal Mashburn","CHH","False","2-pointer",16,"0-2","'CHH'","trails","2000-10-31","00:01:19",0
"3",2,"200010310ATL",24,5,"1st quarter","00:10:38","Baron Davis","CHH","False","2-pointer",0,"0-2","'CHH'","trails","2000-10-31","00:01:22",0
"4",3,"200010310ATL",15.4,5.9,"1st quarter","00:09:36","Elden Campbell","CHH","False","2-pointer",9,"0-4","'CHH'","trails","2000-10-31","00:02:24",0
"5",4,"200010310ATL",20.3,25,"1st quarter","00:09:18","David Wesley","CHH","True","2-pointer",20,"2-4","'CHH'","trails","2000-10-31","00:02:42",2
"6",5,"200010310ATL",19,6.9,"1st quarter","00:08:40","Elden Campbell","CHH","False","2-pointer",5,"2-4","'CHH'","trails","2000-10-31","00:03:20",2
"7",6,"200010310ATL",22.4,29.5,"1st quarter","00:08:16","Jamal Mashburn","CHH","True","3-pointer",25,"5-6","'CHH'","trails","2000-10-31","00:03:44",5
"8",7,"200010310ATL",24,5,"1st quarter","00:07:35","Jamal Mashburn","CHH","True","2-pointer",0,"7-6","'CHH'","leads","2000-10-31","00:04:25",7
"9",8,"200010310ATL",24,5,"1st quarter","00:07:16","David Wesley","CHH","True","2-pointer",0,"9-6","'CHH'","leads","2000-10-31","00:04:44",9
"10",9,"200010310ATL",9.5,6.5,"1st quarter","00:06:14","Jamal Mashburn","CHH","True","2-pointer",15,"13-6","'CHH'","leads","2000-10-31","00:05:46",13
"11",10,"200010310ATL",46.6,6.5,"1st quarter","00:05:45","Jamal Mashburn","CHH","True","3-pointer",23,"16-6","'CHH'","leads","2000-10-31","00:06:15",16
"12",11,"200010310ATL",4.7,21.9,"1st quarter","00:04:38","David Wesley","CHH","True","3-pointer",26,"20-6","'CHH'","leads","2000-10-31","00:07:22",20
"13",12,"200010310ATL",17.5,21.3,"1st quarter","00:04:06","P.J. Brown","CHH","False","2-pointer",18,"20-8","'CHH'","leads","2000-10-31","00:07:54",20
"14",13,"200010310ATL",24.3,16.4,"1st quarter","00:03:35","Jamal Mashburn","CHH","False","2-pointer",11,"20-8","'CHH'","leads","2000-10-31","00:08:25",20
"15",14,"200010310ATL",39.3,18.5,"1st quarter","00:03:02","David Wesley","CHH","True","2-pointer",20,"22-8","'CHH'","leads","2000-10-31","00:08:58",22
"16",15,"200010310ATL",21.1,22.3,"1st quarter","00:02:29","P.J. Brown","CHH","True","2-pointer",18,"24-8","'CHH'","leads","2000-10-31","00:09:31",24
"17",16,"200010310ATL",24,5,"1st quarter","00:00:18","Eldridge Recasner","CHH","False","2-pointer",0,"28-13","'CHH'","leads","2000-10-31","00:11:42",28
"18",17,"200010310ATL",16.9,8,"2nd quarter","00:11:45","Elden Campbell","CHH","False","2-pointer",8,"28-13","'CHH'","leads","2000-10-31","00:12:15",28
"19",18,"200010310ATL",13.9,5.9,"2nd quarter","00:10:39","P.J. Brown","CHH","False","2-pointer",10,"28-17","'CHH'","leads","2000-10-31","00:13:21",28
"20",19,"200010310ATL",30.2,8,"2nd quarter","00:09:48","Eddie Robinson","CHH","False","2-pointer",7,"28-19","'CHH'","leads","2000-10-31","00:14:12",28
"21",20,"200010310ATL",24,5,"2nd quarter","00:09:21","Eddie Robinson","CHH","True","2-pointer",0,"30-21","'CHH'","leads","2000-10-31","00:14:39",30
"22",21,"200010310ATL",24,5,"2nd quarter","00:08:11","Baron Davis","CHH","True","2-pointer",0,"32-23","'CHH'","leads","2000-10-31","00:15:49",32
"23",22,"200010310ATL",24,5,"2nd quarter","00:07:38","Baron Davis","CHH","True","2-pointer",0,"35-25","'CHH'","leads","2000-10-31","00:16:22",35
"24",23,"200010310ATL",41.6,23.6,"2nd quarter","00:05:19","Jamal Mashburn","CHH","False","3-pointer",26,"38-33","'CHH'","leads","2000-10-31","00:18:41",38
"25",24,"200010310ATL",24,5,"2nd quarter","00:02:41","David Wesley","CHH","True","2-pointer",0,"46-37","'CHH'","leads","2000-10-31","00:21:19",46
"26",25,"200010310ATL",24,5,"2nd quarter","00:02:10","Jamal Mashburn","CHH","False","2-pointer",0,"46-39","'CHH'","leads","2000-10-31","00:21:50",46
"27",26,"200010310ATL",37.2,26.3,"2nd quarter","00:01:50","David Wesley","CHH","False","3-pointer",25,"46-39","'CHH'","leads","2000-10-31","00:22:10",46
"28",27,"200010310ATL",38,6.5,"2nd quarter","00:01:06","Jamal Mashburn","CHH","True","2-pointer",14,"48-43","'CHH'","leads","2000-10-31","00:22:54",48
"29",28,"200010310ATL",35.9,8.6,"2nd quarter","00:00:27","Jamal Mashburn","CHH","False","2-pointer",12,"48-45","'CHH'","leads","2000-10-31","00:23:33",48
"30",29,"200010310ATL",24,5,"2nd quarter","00:00:01","Elden Campbell","CHH","True","2-pointer",0,"50-47","'CHH'","leads","2000-10-31","00:23:59",50
"31",30,"200010310ATL",24,5,"3rd quarter","00:11:19","P.J. Brown","CHH","True","2-pointer",0,"52-47","'CHH'","leads","2000-10-31","00:24:41",52
"32",31,"200010310ATL",25.8,9.7,"3rd quarter","00:10:43","Baron Davis","CHH","False","2-pointer",5,"52-47","'CHH'","leads","2000-10-31","00:25:17",52
"33",32,"200010310ATL",24,5,"3rd quarter","00:10:14","P.J. Brown","CHH","True","2-pointer",0,"54-47","'CHH'","leads","2000-10-31","00:25:46",54
"34",33,"200010310ATL",24,5,"3rd quarter","00:09:36","Elden Campbell","CHH","False","2-pointer",0,"54-47","'CHH'","leads","2000-10-31","00:26:24",54
"35",34,"200010310ATL",8.9,5.9,"3rd quarter","00:08:44","Jamal Mashburn","CHH","True","2-pointer",15,"56-49","'CHH'","leads","2000-10-31","00:27:16",56
"36",35,"200010310ATL",29.6,7.6,"3rd quarter","00:08:19","Baron Davis","CHH","False","2-pointer",6,"56-51","'CHH'","leads","2000-10-31","00:27:41",56
"37",36,"200010310ATL",9.5,26.9,"3rd quarter","00:07:56","Jamal Mashburn","CHH","False","3-pointer",26,"56-51","'CHH'","leads","2000-10-31","00:28:04",56
"38",37,"200010310ATL",24,5,"3rd quarter","00:07:21","Baron Davis","CHH","True","2-pointer",0,"58-53","'CHH'","leads","2000-10-31","00:28:39",58
"39",38,"200010310ATL",23.9,14.7,"3rd quarter","00:06:44","Jamal Mashburn","CHH","False","2-pointer",10,"58-55","'CHH'","leads","2000-10-31","00:29:16",58
"40",39,"200010310ATL",11.6,13,"3rd quarter","00:06:05","Jamal Mashburn","CHH","True","2-pointer",15,"60-57","'CHH'","leads","2000-10-31","00:29:55",60
"41",40,"200010310ATL",11,28,"3rd quarter","00:05:34","Jamal Mashburn","CHH","False","3-pointer",26,"60-59","'CHH'","leads","2000-10-31","00:30:26",60
"42",41,"200010310ATL",24,5,"3rd quarter","00:03:49","David Wesley","CHH","True","2-pointer",0,"62-61","'CHH'","leads","2000-10-31","00:32:11",62
"43",42,"200010310ATL",24,5,"3rd quarter","00:03:19","David Wesley","CHH","True","2-pointer",0,"64-61","'CHH'","leads","2000-10-31","00:32:41",64
"44",43,"200010310ATL",12.5,15.1,"3rd quarter","00:02:49","David Wesley","CHH","False","2-pointer",15,"65-61","'CHH'","leads","2000-10-31","00:33:11",65
"45",44,"200010310ATL",24,5,"3rd quarter","00:02:46","Eddie Robinson","CHH","True","2-pointer",0,"67-61","'CHH'","leads","2000-10-31","00:33:14",67
"46",45,"200010310ATL",24,5,"3rd quarter","00:02:18","Eldridge Recasner","CHH","True","2-pointer",0,"69-61","'CHH'","leads","2000-10-31","00:33:42",69
"47",46,"200010310ATL",36.5,9.2,"3rd quarter","00:01:41","Otis Thorpe","CHH","False","2-pointer",13,"69-61","'CHH'","leads","2000-10-31","00:34:19",69
"48",47,"200010310ATL",22.4,15.1,"3rd quarter","00:01:15","David Wesley","CHH","False","2-pointer",10,"69-61","'CHH'","leads","2000-10-31","00:34:45",69
"49",48,"200010310ATL",19.6,24.6,"3rd quarter","00:00:30","P.J. Brown","CHH","True","2-pointer",20,"73-62","'CHH'","leads","2000-10-31","00:35:30",73
